,Essay_set_id,Essay_id,Essay,rater_domain_1,rater_domain_2,domain1_score
0,1.0,1.0,dear local newspap think effect comput peopl great learn skill affect give us time chat friend new peopl help us learn globe astronomi keep us trobl thing dont think would feel teenag alway phone friend ever time chat friend buis partner thing well new way chat comput plenti site internet facebook myspac ect think set meet boss comput teenag fun phone rush get caus want use learn countri state outsid well comput internet new way learn go time might think child spend lot time comput ask question economi sea floor spread even surpris much know believ comput much interest class day read book child home comput local librari better friend fresh perpressur someth know isnt right might know child forbidd hospit bed drive rather child comput learn chat play game safe sound home commun place hope reach point understand agre comput great effect child give us time chat friend new peopl help us learn globe believ keep us trobl thank listen,4.0,4.0,8.0
1,1.0,2.0,dear believ use comput benefit us mani way like talk becom friend other websit like facebook mysac use comput help us find coordib locat abl ourself million inform also comput benefit us help job plan hous plan type page report one job less write let go wonder world technolog use comput help us life talk make friend line mani peopl myspac facebook aim benefit us convers one anoth mani peopl believ comput bad make friend never talk fortun comput help school work social life make friend comput help us find locat coordib million inform onlin go internet lot know go onto websit help us locat coordin like would rather use comput suppos vacat million inform found internet almost everi question comput would rather easili draw hous plan comput take hour one hand ugli eraz mark garrente find job draw like also appl job mani worker must write long paper like word essay job fit mani peopl know like write word non stopp hour could take hav comput comput need lot aday hope essay impact descion comput great machin work day show mom use comput said greatest invent sens slice bread go buy comput help chat onlin friend find locat million inform one click button help self get job neat prepar print work boss love,5.0,4.0,9.0
2,1.0,3.0,dear peopl use comput everyon agre benefit societi support advanc technolog believ comput posit effect peopl other differ idea great amount world today use comput work spme fun comput one man greatest accomplish comput help mani way news live stream get wrong way much peopl spend time comput interact other tell grow want author journalist know fact job involv lot time time comput one spend time know exactli get expert think peopl spend much time comput exercis enjoy natur interact famili friend expert know must peopl make live know peopl choos use comput great amount time honest non concern call expert concern peopl interact thousand time day comput comput keep lot kid street instead caus troubl comput help locat want crimin see comput use societi think comput benefit societi,4.0,3.0,7.0
3,1.0,4.0,dear local newspap found mani expert say comput benifit societi case true case studdi show comput help peopl noth beat talk person comput get realli close exampl webcam e mail student get good grade refer reliabl websit reasearch help find good book also onlin cataloug advertis help economi store worldwid peopl allow use comput modern would exist said best form modern commun comput abil write talk write back much cheaper almost everi singl event go plane comput commun e mail student ever need homework lam sick need help studi test contact teacher best form commun alway e mail even post offic use comput get letter box peopl presid post offic said would impos get mail coustmer comput tell us zip code heavi box tell peopl happen around world would exist moder commun abil comput provid us inform commuc quick reasearch countri took pole peopl use comput type reasearch student current school good grade survey taken peopl use comput fore reason student good grade posibl access document onlin probabl would gotten assign could amagin suddenli newspap report use internet work report articl would probabl event occur buiss includ newspap use internet advertis shop read associ report use websit good posit presid import said use onlin cataloug cheaper also promot save tree castom convin small make websit promot selv explain star potenti coustom owner said internet save restur wer internet peopl would jobless conclus comput help everyday peopl without convin would exist help commun around world comput help peopl reaserch subject school report make current economi get better everyday moder comput use tool,5.0,5.0,10.0
4,1.0,5.0,dear know comput posit effect peopl comput connect famili contain inform great peopl educ conveint computor step futur take advantag first internet e mail help famili member connect famili live hour away car love talk e mail help connect famili anoth reason computor anoth reason includ famili famili sit around call everywher find board game would easier go onlin find way would quick easi find one board game last reason comput would help famili famili want get kind activ need number could go onlin internet famili could find number inform way famili activ togeth one see comput bring famili togeth reason comput good societi educ inform tip finger peopl want learn day peopl tri find tool comput mae peopl get educ secondli comput anoth way go collag arn go school collag sick miss anyth click button materi need miss lastli everyon know classroom afford one comput children want computor hard get one would chang much would abl learn much children could lean differ countri far away result comput would improv way learn last reason comput help convienc say world crazi go talk someon comput offer abil confrenc peopl would commun work parttner abil talk anoth work would make us lighter nation one mani reason comput convient subssiqu comput convient could book flight vacat rental much click button go nice vacat,4.0,4.0,8.0
5,1.0,6.0,dear think comput neg affect us mani peopl acess camput daili america mani peopl go least hour mean peopl cant exercis wast mani posibl physic sound good think everyth done write letter got got materi sit back done write put materi away put letter mailbox walk way back well think write email sitdown move finger see differ instead get good walk friend hous talk er know liter comput instead around add anyth comput give away inform inform lead everth wouldb gone go onlin believ phisic get hurt comput long thing comput happen grandpa wood chair day get ardthriti muscl thing th,4.0,4.0,8.0
6,1.0,7.0,know peopl day depend comput safeti natur educ social life opinion increas use comput benefit societi initi one safeti use comput risk begin someon talk anoth comput never know end exampl small girl play game comput person began talk could predat never know unless meet us somewher point mayb late moreov studi show peopl inform wide expos last year due new chat websit myspac facebook websit peopl share inform safeti risk final peopl stop use comput much order keep safeti safe furthermor enjoy natur must world full immens landscap wide water dens forest lush valley depend comput teach world ceas use one must actual outsid experienc feel smell even tast natur recent studi show peopl actual went grand canyon could write page essay learn peopl go simpli read inform comput could write much final societi need back away comput stop thirdli person social life could ruin use comput mani reason one reason could person spend time comput instead spend time famili friend sure chat peopl onlin noth like chat person need talk friend famili member onlin could person final someon take embarras pictur put comput forev thu lose friend whether person pictur addict put pictur easili ruin famili social life use comput often would feel fault someon safeti risk rather enjoy natur person instead comput get fall effect talk friend famili person rather ignor use comput numer way increas rate comput use benefit societi encourag agre comput put one safeti risk decreas educ natur ruin social life,5.0,5.0,10.0
7,1.0,8.0,peopl agre comput make life less complic also agre use comput teach hand eye coordin give peopl abil learn faraway place peopl let peopl talk onlin peopl think import want strong hand eye coordin think import skill comput help teach hand eye coordin keep strong look screen hand move mous want go good hand eye coordin use lot thing mostli everyth play sport like basebal hand eye one import element make stronger feild also hand eye use take note hand eye involv almost everyth poor hand eye coordin els abl function properli doctor agre hand eye import healthi live love travel want know place go get phone go said scienc teacher feel way sure lot peopl feel want know place go want current comput plenti inform lot differ place world book offer much inform need updat comput also good learn cultur tradit one want ignor right peopl want know go world quick easi comput rememb phone broke hous go get one right away either way abl commun famili friend comput comput made easier e mail everyon tell answer hous phone happen often think peopl need commun comput lot work need talk employe co worker leav desk e mail inform employe say much faster easier e mail inform oppos talk phone person lot peopl agre comput make life lot easier comput teach hand eye coordin let commun peopl critic reason comput let peopl learn faraway place peopl make differ way peopl feel comput write local newspap never,5.0,5.0,10.0
8,1.0,9.0,dear reader dramat effect human life chang way almost everyth today well know comput devic allow peopl buy thing onlin talk peopl onlin also provid entertain peopl good qualiti make everyon live easier imagin look refriger notic almost empti someon use car need go groceri shop store far well could go comput look food onlin ther mani great deal compani even deliv free amaz easi way buy food without leav hous food purchas mani product sold comput need new toy kid new hat friend mayb even curtain room well easi access internet comput buy item comput also way commun let say someon want talk friend rel live far away anoth countri someon dosen phone make call comput commun anyon use email adress friend famili talk eas comput type want say boom instant chat let face matter child even teenag comput chang one click could actual watch movi comfort home want movi entertain like list music watch fun probabl popular play game everyon love play game everi select thousand onlin game person fled atleast game enjoy even game educ fun mani kid love entertain comput produc could hate comput revolutin devic chang way shop commun find excit entertain abl much coupl click new find extravag blow mind see think wonder accomplish futur,4.0,5.0,9.0
9,1.0,10.0,technolog comput say comput good societi disagre believ bad reason reason obes cramp sexual harrass even cyber bulli first peopl get comput go exercis caus obes think way watch kid go school entir life start pound thing kid want play comput gain weight next tip top tip top hear kid comput teen come home school go straight comput get school night kid like get bad cramp get cramp form type fast hard long also get cramp sit long tri get hurt much decid move anywher also lot sexual harass go kid goin chat room talk friend great news get chat room mad piss reason someon make fun like happen mayb close time teen even parent go chat room onlin third reason comput huge effect peopl last reason comput huge effect peopl cyberbulli cyberbulli someon bulli onlin instead realiz children becam poor sick dont want hurt kill someth stupid well nice god thing kid goe school onlin get cyberbulli smart enough money go school cyberbulli normal occur chat room onlin famili either becom broke money food even lose kid hous live someon want act big bad popular school conclus way comput effect peopl obes cramp sexual harrass cyberbulli joke fun get done turn tell us think comput think comput good benefit societi bad rot littl kid brain make live horribl live,5.0,4.0,9.0
10,1.0,11.0,dear peopl acknowledg great advanc comput give us also put us disadvantag comput known help develop health issu peopl becom intun onlin world tend interact famili less forget danger onlin predat deadli peopl noth watch televis often refer cauch potato glu comput screen better state numer top doctor much time spent comput caus damag health exercis highli stress doctor around globe exercis comput addict type storm submerg obes often caus depress begin sink addit seriou health issu surpris add comput wing rehab center sometim near futur problem slowli spread must come togeth abolish famili time treasur valu peopl late comput ruin tradit peopl absorb onlin drama friend even video game famili interact declin peopl slowli remov realiti enter altern world cyberspac emerg room use bathroom eat scarc rest caus great tension sorrow famili eras horrifi stori abduct memori onlin predat highli danger extrem clever children could talk someon believ anoth teenag look friend consol realli forti year old serial killer wait find right time attack studi show one fourth onlin user encount danger person,4.0,4.0,8.0
11,1.0,12.0,dear feel comput take away peopl life import factor life first know world becom obeas lack exercis also peopl realiz warm becom big problum final famili arn close use reason comput arn import human socioti first world becom obeas cumput play huge part comput make peopl exercis basicli sit couch use comput help amarica get back shape also comput becom habbit person use comput everyday life becom addict abl stop final peopl use comput realiz lack exersis get first reason computer bad thing next warm mealt polar ice cap comput play part warm use electricti thjen electris melt polar ice cap keep happin melt shorlin half world flude final comput play,4.0,4.0,8.0
12,1.0,13.0,dear local newspap ra ur argument comput think posit effect peopl first reson think good effect much like live mane ur cuzin live califan could wed chat second thing could look news world could stuck plane would vari bore take ur comput go ur comput work start work said take away exirsi well peopl use comput chart fast run meni mile want sometim eat thrid reson peolp job comput make comput exmpl made artic didnt use type writer use comput print didnt comput would make ur lot harder thank read whe think adout agen plea consit thrie reson,4.0,3.0,7.0
13,1.0,14.0,three detail news paper articl one state opinion effect comput second give detail reson persuad local newspap agre yor postit three idea news paper articl bigin opinion comput effect wast time mani peopl wast time comput like fat peopl inst inst comput go run exercis inst comput go ur girlfriend famili famili friend fun incomput long bad mani kid wach bad stuff like adult good comput long start shod agre becasu detail reason reson mani air ba stuff like porn mani kid wach ruin ther mainli futur get addict watch peopl use comput good stuff old mid good gane good detail reson yor bigin go organ idea well present clearli good comput long inst go plat exersu abd yor enjoy life inst comput bad thing mani kid wach bad stuff cmputer relli bad staff comput use evry thing day organ idea conclus idea news papaer ol state opinion comput effect give detail reson persuad local news paper agre think organ idea much present clearli idea could new papaer se comput effect,3.0,3.0,6.0
14,1.0,15.0,dear world today everyon use comput comput posit effect peopl teach hand eye coordin give peopl abil learn faraway place peopl even allow peopl talk onlin peopl today comput like world biggest book knowledg everyth need know comput look faraway place zap there everyth need know write front comput fast easi everyon use today kid addict comput everyday mani websit kid teen go like facebook ect websit kid young ten year old chat friend put pictur ther also webchat websit allow use webcam talk peopl anywher world comput great way get touch peopl everyon comput home today,3.0,3.0,6.0
15,1.0,16.0,dear comput blink life imag blond hair girl fill screen easi find life thank actual girl explain go librari fill one priceless inform human interect comput nessess life soceiti wish grow expand support teach hand eye coordin give peopl abil learn faraway place allow peopl talk other onlin firstli comput help teach hand eye coordin hand eye coordin use abil usod excel sport recent survey kid felt hand eye coordin improv comput use even simpl thing like tie build skill famou neurologist state articl last week comput strength comput automat process eye see command hand hand eye coordin improv peopl sport basebal basketbal someon wan becom better sport need turn comput peopl becom better sport like play becom healthi realiti comput help exercis instead decreas additionali comput allow peopl access inform faraway place peopl someon want reasearch need type search would present would link forev search countless thing also abil learn cultur make peol peol cultur understand other someth increas toler peopl comput resourc tool help peopl everi differ aspect life lastli comput technolog allow peopl chat comput chat video chat help differ nation bring good term place help us understand stori come someth happend peopl go comput ask actual citizen take matter also video chat onlin convers cut expens phone bill one want pay economi anoth good point acess famili member scaresli visit help connect within famili ovious comput use aid today era advanc push world foreward better place comput help peopl help teach handey coordin give peopl biliti learn faraway place peopl allow peopl talk onlin other think world comput technological advanc world would sector unifi contact peopl scare inform even internet like thousand librari put togeth nobodi would know much nation news would travel slower kind palc want peopl live,6.0,6.0,12.0
16,1.0,17.0,dear local newspap beliv comput neg effect peopl live beliv spend much time comput get much spend enough time famili comput everyth first reason beliv peopl need get get exersis unhealthi instead watch game score get play game also beliv enjoy natur feel like wast beauti natur around want wast abil privalg would anoth reason spend enough time famili famili near take advantag interact one anoth fun famili play game also fun hang boost social skill comput alway bring next point comput everyth take advantag comput time fine danger get addict comput lot inform noth find book comput love dog reason get comput pleanti thing comput includ sport take care famili hobbi rememb comput great time time live life beliv spend less time comput time get fun famili comput everyth,4.0,4.0,8.0
17,1.0,18.0,dear local newspap must admit expert centainli right caus know peopl stay comput day realli good ask instead comput learn faraway place talk peopl go exercis relax interact famili friend exercis much better comput say say comput sit play onlin game check thing whatev case get board hungri know there snack around whatev instead comput hour mayb even day get fat mani way exercis take walk go joggin could play sport mean lot thing comput know peopl could workin day still come home comput rest good also alway jum,4.0,4.0,8.0
18,1.0,19.0,aegr waf evansm ov tnachnolag evansm ov tnachnolig halp fine kohar froi alnsa tnanchnolag waf ont ot wod go moon tnachnolog evan maech peopl tnacholeg frchr fror good ov live fama invanyor ue tnacholag leki lena ord dvans fling mashin tnacholog grat,2.0,2.0,4.0
19,1.0,20.0,well comput good bad thing reali see comput bad thing also know comput help peopl around world think comput posit effect peopl like comput teach hand eye coordin help need find reasearch school project creat lot thing comput like music desin shirt logo banner lot creativ thing comput look avail home apart even go onlin fill job applic save trip store cool well im regular person rich famou comput provid lot inform peopl use today that think comput posit effect peopl super smart use one,3.0,3.0,6.0
