,Essay_set_id,Essay_id,Essay
0,8,0,college worked gas station first time ever saw kid run across street store shock believe seeing call kid heard laughter coming kid best thing ever happened without laughter would one heck scary experience
1,8,1,atheme park friends crowded day lines rides unusually long friends getting tired frustrated suddenly saw someone know line roller coaster line long looked like going take forever get ride started laughing hysterically relief happiness felt long time feeling humor laughter productive way spend time
2,8,2,upon time two young lovers sharing quiet moment together candlelit bedroom realized crying started laughing uncontrollably moment realized even things tough laughter best way bridge gap love finally strong enough weather storm
3,8,3,upon time woman named pam desperately trying find job went every possible avenue finally found position local pet store pam ecstatic could wait get started arrived first day work co worker welcomed warm smile said nice finally real live human let laughs pam amazed easy get along new co worker would joke around laugh time pam realized missing important part life slowly realized laughter one important things life began treasure ever
4,8,4,one time grandmother visiting hospital quite ill doctors warned might make night nevertheless grandma bubbled energy good humor every time new patient nurse came room greet friendly good morning sweetie smile even though pain probably much still found energy make everyone feel welcome laughter showed us nothing overcome even things seem pretty bad
5,8,5,second grade paper due night totally stressed told mom going photocopy time original paper said going start laughing paper started laughing made bunch copies
6,8,6,one day grandmother visiting stop laughing grandfather confused know eventually joined laughter swiftly spread room finally grandmother could breathe thanked grandfather bringing much needed laughter life
7,8,7,upon time two friends joking around funny antics laughing person got lost laughter see person foot got caught piece thread floor result person fell hurt ankle
8,8,8,walking home picking dog pet rat backpack walking started hear weird high pitched noise identify stopped looked around saw bird nest tree bird making weird noise thought hilarious started laugh noise bird making actually pretty cute started laugh even walking home rat laughing whole way
9,8,9,eight years old mom waiting line bank middle boring conversation group kids came running us must seen smile mom face wanted action mom started telling unicycle collection acted impressed halfway story one kids group started laughing hard stomach spasms contagious within minutes everyone line laughing brief moment joy pushed mom rest boring conversation special first time experienced true laughter someone else paved way lots happy moments together years come
10,8,10,younger used idolize older sister would anything would would always try like one day sister playing living room scary face never seen laughed made mad turned around shouted laughing supposed scary told laughing laughing believe really mad always tried like sisters laugh laughing even really funny
11,8,11,shortly wedding husband lying bed trying get sleep really exhausted festivities night suddenly heard really loud quick laugh coming downstairs realized parents next room hilariously joking something happened night hearing laughter made us laugh hard finally fell asleep
12,8,12,many years ago really bad day wife town business teenage daughter screaming fighting little brother stressed cry suddenly heard big laugh outside strange made feel little bit better realized even though family messed least laughing think laughter important makes everything seem little bit better
13,8,13,high school sitting cafeteria three friends eating lunches one friends started getting picky sandwich eating complained everything flavor mayo type bread sandwich made remember thinking going one long lunch sadly right 30 minutes grumbling friend finally threw sandwich trash bin said done one friends started laughing chuckles started laughing really funny made lunch hour seem shorter comparison laughter important part relationship laugh together bond stronger ever
14,8,14,one time grandma told story childhood used live small farm family papa needed land work would leave days time gone mama would take care farm one day mama milking cows car pulled farm jumped bunch kids asking mama could milk cows mama said explained papa always gone time teach milk cows kids sad understood minutes later papa drove back farm got car saw kids playing together amazed asked mama happened told said explained time teach kids milk cows papa impressed mama started calling grandma milker whenever went away business would leave young sons mama could take care farm one day mama milking cows bunch kids came asking milk cows told story told kids understood minutes later papa drove farm saw kids playing together amazed asked mama happened mama told said explained time teach kids milk cows papa impressed mama started calling grandma milker whenever went away business would leave young sons mama could take care farm
15,8,15,one time mother company dinner younger sister upstairs taking bath mother trying get older sister come could get ready older sister bedroom phone mother started get impatient mother started knock door older sister hear mother started yell sister sister eating without older sister kept talking phone finally older sister phone 10 minutes hung took bath came dinner mother explain guest sister late
16,8,16,one night elderly father watching comedy movie siblings laughing hard crying sore throats end dad pleased enjoying thought best movie ever seen
17,8,17,nephew two years old got new toy truck excited drive around went outside try went get driver seat got passenger seat tried drive toy truck go anywhere started laughing stop best moment day
18,8,18,grade school used really tricky teacher every day give us really hard math problem unsurprisingly us solve one day got answer problem needless say saw astounded started laughing turns laughing solved problem 12 years earlier forgotten solved particular day found really amusing start really strong relationship us
