essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score
1,1,"dear local newspaper, think effect comput peopl great learn skills/affect give us time chat friends/new people, help us learn globe(astronomy) keep us troble! thing about! dont think so? would feel teenag alway phone friends! ever time chat friend buis partner things. well - there' new way chat computer, plenti site internet so: @organization1, @organization2, @caps1, facebook, myspac ect. think set meet boss computer, teenag fun phone rush get caus want use it. learn countrys/st outsid yours? well computer/internet, new way learn go time! might think child spend lot time computer, ask question economy, sea floor spread even @date1' surpris much he/sh knows. believ comput much interest class day read books. child home comput local library, better friend fresh, perpressur someth know isnt right. might know child is, @caps2 forbidd hospit bed drive-by. rather child comput learning, chat play games, safe sound home commun place. hope reach point understand agre me, comput great effect child give us time chat friends/new people, help us learn globe believ keep us troble. thank listening.",4,4,8
2,1,"dear @caps1 @caps2, believ use comput benefit us mani way like talk becom friend other websit like facebook mysace. use comput help us find coordibates, locations, abl ourself million information. also comput benefit us help job plan hous plan type @num1 page report one job less write it. let go wonder world technology. use comput help us life talk make friend line. mani peopl myspace, facebooks, aim, benefit us convers one another. mani peopl believ comput bad make friend never talk them? fortun comput help school work social life make friends. comput help us find locations, coordib million inform online. go internet lot know go onto websit @month1 help us locat coordin like @location1. would rather use comput @location3. suppos vacat @location2. million inform found internet. almost everi question comput it. would rather easili draw hous plan comput take @num1 hour one hand ugli eraz mark it, garrente find job draw like that. also appl job mani worker must write long paper like @num3 word essay job fit most, mani peopl know like write @num3 word non-stopp hour could take hav computer. comput need lot adays. hope essay impact descion comput great machin work with. day show mom use comput said greatest invent sens slice bread! go buy comput help chat onlin friends, find locat million inform one click button help self get job neat, prepared, print work boss love.",5,4,9
3,1,"dear, @caps1 @caps2 @caps3 peopl use computers, everyon agre benefit society. support advanc technolog believ comput posit effect people. other differ ideas. great amount world today use computers, work spme fun it. comput one man greatest accomplishments. comput help mani ways, @caps4, news, live streams. get wrong way much peopl spend time comput interact other tell do. grow want author journalist know fact job involv lot time time computer, one @month1 spend time know exactli @caps5 get at. expert think peopl spend much time comput exercising, enjoy natur interact famili friends. expert know must peopl make live know peopl choos use comput great amount time honest non concern call expert concern. peopl interact thousand time day computers. comput keep lot kid street instead caus trouble. comput help @organization1 locat want criminals. see comput use societi think, comput benefit society.",4,3,7
4,1,"dear local newspaper, @caps1 found mani expert say comput benifit society. case true case studdi show comput help people. noth beat talk person comput get realli close exampl webcam e-mail. @percent1 student get good grade refer reliabl websit reasearch help find good books. also onlin cataloug advertis help economi store worldwide. @caps2 peopl allow use comput modern would exist. @person1 said best form modern commun comput abil write, talk, write back much cheaper! almost everi singl event go plane comput commun e-mail ""@caps2 student ever need homework lam sick need help studi test contact teacher best form commun alway e-mail. even post offic use comput get letter box people. presid post office, @person2 said ""@caps3 would impos get mail coustmer @caps2 @caps3 comput tell us zip code heavi box is."" @caps4 tell peopl happen around world would exist @caps2 @caps3 moder commun abil comput provid us. inform commuc quick. reasearch. countri @location2 took pole @percent2 peopl use comput type reasearch, @percent3 student current school @percent4 good grades. survey taken @location1 @percent5 peopl use comput fore reason @percent2 student good grade @caps2 @caps3 posibl access document @caps5 @caps6 onlin probabl would gotten a+ @caps7 assignment! could amagin @caps2 suddenli newspap report use internet work reports? articl would probabl @num1 event occur. buissness, includ newspaper, use internet advertise, shop, read. associ @organization1 report @percent1 @organization1 use websit @percent5 good positions. presid @caps8 @num2 import said use onlin cataloug @caps3 cheaper, also promot @caps3 save trees, castomer' convinence. small @organization1 make websit promot selv explain star potenti coustomers. @person3, owner @organization2' said internet save resturant. @caps2 @caps3 wer internet @num3 peopl would jobless @location3. conclus comput help everyday peopl without convin would exist. help commun around world. comput help peopl reaserch subject school reports, make current economi get better everyday. moder comput use tool there.",5,5,10
5,1,"dear @location1, know comput posit effect people. comput connect families, contain inform great peopl education, conveint. computor step futur take advantag it. first internet e-mail help famili member connect. family, live @num1 hour away car, love talk e-mail. help connect famili anoth reason computors. anoth reason includ famili famili sit around call everywher find board game, would easier go onlin find it. way would quick easi find one board game. last reason comput would help famili famili want get kind activ need number could go online. internet famili could find numbers, inform it. way famili activ together. one see comput bring famili together. reason comput good societi educations. inform tip finger peopl want learn. day peopl tri find out, tool comput mae peopl get education. secondli comput anoth way go collage. arn't go school/collag sick. miss anyth click button materi need missed. lastli everyon know @location2 classroom can't afford one computer. children want computor hard. get one would chang much. would abl learn much before. children could lean differ countri far away. result comput would improv way learn. last reason comput help convience. say world crazy, go talk someon won't. comput offer abil confrenc peopl would commun work parttners. abil talk anoth work would make us lighter nation. one mani reason comput conviente, subssiqu comput convient could book flights, vacations, rentals, much more. click button go @caps1 nice vacation.",4,4,8
6,1,"dear @location1, think comput neg affect us! mani peopl acess camput daili america.. @num1 mani peopl go least hour @num2. mean @num3 peopl cant exercis wast mani posibl physic @caps1 sound good you? think everyth done write letter. got got materi sit back down. done write put materi away put letter mailbox walk way back. well do. think write email sitdown move fingers. see difference? @caps2 instead get good walk friend hous talk him/er. know liter computer. instead around add anyth comput give away inform inform lead everth wouldb gone. go online. believ not, phisic get hurt computer, long. @num4 thing comput @caps2 happen grandpa wood chair day get ardthriti muscl @caps3 thing th.",4,4,8
7,1,"know peopl day depend comput safety, natur education, social life? opinion, increas use comput benefit society. initially, one safeti use comput risk. begin, someon talk anoth computer, @month1 never know end it. example, @caps1 small girl play game comput person began talk her, could predator. never know unless meet us somewhere. point, mayb late. moreover, studi show @percent1 people' inform wide expos last @num1 year due new chat websites. myspac facebook. websites, peopl share information. this, safeti risk. finally, peopl stop use comput much now, order keep safeti safe. furthermore, enjoy natur must, world full immens landscapes, wide waters, dens forests, lush valleys. @caps1 depend comput teach world, ceas use. one must actual outside, experienc feel, smell, even tast nature. recent studi show peopl actual went grand canyon could write @num1 page essay learned. peopl go simpli read inform computer, could write much. finally, societi need back away computers, stop into. thirdly, person' social life could ruin use comput mani reasons. one reason could person spend time comput instead spend time famili friends. sure, chat peopl online, that' noth like chat person. need talk friend famili member online, could person. finally, @caps1 someon take embarras pictur put computer, forever. thus, lose friends, whether person pictur addict put pictur on. this, easili ruin family/soci life use comput often. would feel @caps1 fault someone' safeti risk? rather enjoy natur person instead comput get fall effect? talk friend famili person rather ignor use computer? numer way increas rate comput use benefit society. encourag agre comput put one safeti risk decreas educ natur ruin social life.",5,5,10
8,1,"@percent1 peopl agre comput make life less complicated. also agre this. use comput teach hand-ey coordination, give peopl abil learn faraway place people, let peopl talk onlin people. think important. want strong hand-ey coordination? think import skill. comput help teach hand-ey coordin keep strong. look screen hand move mous want go. good hand-ey coordin use lot things; mostli everything. play sport like baseball, hand-ey one import elements. make stronger feild? also, hand-ey use @organization1 take notes. hand-ey involv almost everyth do. can't poor hand-ey coordin els abl function properly. @num1 @num2 doctor agre hand-ey import healthi living. love travel, want know place i'm go get phone go there."" said @person1, scienc teacher @organization1. feel way, i'm sure, lot peopl feel. want know place go want current. comput plenti inform lot differ place world. book offer much inform need updated. comput also good learn cultur traditions. one want ignor right? peopl want know what' go world quick easy. comput this. rememb @num2, phone broke house. go get one right away either. way abl commun famili friend computer. comput made easier e-mail everyon tell answer hous phone. happen often think. peopl need commun comput lot. work, need talk employe co-work can't leav desk, e-mail inform them. @num4 @num2 employe say much faster easier e-mail inform oppos talk phone person. lot peopl agre comput make life lot easier. comput teach hand-ey coordin let commun people. critic reason comput let peopl learn faraway place people. make differ way peopl feel computers. write local newspaper. never!""",5,5,10
9,1,"dear reader, @organization1 dramat effect human life. chang way almost everyth today. well know, computer. devic allow peopl buy thing online, talk peopl online, also provid entertain people. good qualiti make everyon live easier. imagin look refriger notic almost empty. someon use car need go groceri shop store far. do? well could go comput look food online. ther mani great deal compani even deliv free! amaz easi way buy food without leav house. food purchase. mani product sold computer. need new toy kids? new hat friend? mayb even curtain room? well easi access internet computer, buy item more. comput also way communication. let' say someon want talk friend rel live far away anoth country. @caps1 someon dosen't phone @caps1 can't make call, computer. commun anyon use email adress. friend famili talk eas computer. type want say ""boom,"" instant, chat. let' face it. matter child even teenag . comput change. one click could actual watch movi comfort home. @caps1 want movie? entertain like list musics, watch fun, probabl popular play games. everyon love play game everi while, select thousand onlin games, person can't fled atleast game enjoyable. even game educ fun mani kid love. entertain comput produce; could hate it? comput revolutin devic chang way shop, communicate, find excit entertainment. abl much coupl clicks; new find extravagant. blow mind see think, ""@caps1 now, wonder accomplish future.",4,5,9
10,1,"@location1 technolog computer. say comput good society. disagree, believ bad reasons. reason obesity, cramps, sexual harrass even cyber bullying. first peopl get comput go exercis caus obesity. think way, watch kid go school entir life start @num1 pounds. thing kid want play comput gain weight. next, tip-top-tip-top, that' hear kid computer, @caps1 teen come home school go straight comput get school night. kid @caps1 like get bad cramps. get cramp form type fast, hard long. also get cramp sit long tri get can't hurt much decid move anywhere. there' also lot sexual harass go kid goin chat room talk friend great news, get chat room mad piss off. reason someon make fun like it. happen mayb close @percent1 time teen even parent go chat room online. third reason comput huge effect people. last reason comput huge effect peopl cyberbullying. cyberbulli someon bulli onlin instead. realiz children becam poor sick dont want hurt kill someth stupid? well, nice, god thing kid goe school onlin he/sh @month1 get cyberbulli he' smart enough he/sh money go school. cyberbulli normal occur chat room online. famili either becom broke money food. @month1 even lose kid hous live someon want act big bad popular school. conclusion, way comput effect people. obesity, cramps, sexual harrass cyberbulli joke fun get done you. turn tell us think computers. think comput good benefit societi bad rot littl kid brain make live horribl live with?",5,4,9
